date,day,month,year,res_stor_af
10/1/2014,1,10,2014,2229000
10/2/2014,2,10,2014,2229000
10/3/2014,3,10,2014,2227000
10/4/2014,4,10,2014,2226000
10/5/2014,5,10,2014,2224000
10/6/2014,6,10,2014,2223000
10/7/2014,7,10,2014,2221000
10/8/2014,8,10,2014,2220000
10/9/2014,9,10,2014,2217000
10/10/2014,10,10,2014,2216000
10/11/2014,11,10,2014,2214000
10/12/2014,12,10,2014,2213000
10/13/2014,13,10,2014,2213000
10/14/2014,14,10,2014,2211000
10/15/2014,15,10,2014,2210000
10/16/2014,16,10,2014,2209000
10/17/2014,17,10,2014,2208000
10/18/2014,18,10,2014,2207000
10/19/2014,19,10,2014,2206000
10/20/2014,20,10,2014,2204000
10/21/2014,21,10,2014,2203000
10/22/2014,22,10,2014,2202000
10/23/2014,23,10,2014,2201000
10/24/2014,24,10,2014,2202000
10/25/2014,25,10,2014,2202000
10/26/2014,26,10,2014,2201000
10/27/2014,27,10,2014,2201000
10/28/2014,28,10,2014,2201000
10/29/2014,29,10,2014,2201000
10/30/2014,30,10,2014,2202000
10/31/2014,31,10,2014,2201000
11/1/2014,1,11,2014,2201000
11/2/2014,2,11,2014,2203000
11/3/2014,3,11,2014,2204000
11/4/2014,4,11,2014,2206000
11/5/2014,5,11,2014,2209000
11/6/2014,6,11,2014,2210000
11/7/2014,7,11,2014,2211000
11/8/2014,8,11,2014,2212000
11/9/2014,9,11,2014,2213000
11/10/2014,10,11,2014,2218000
11/11/2014,11,11,2014,2219000
11/12/2014,12,11,2014,2218000
11/13/2014,13,11,2014,2216000
11/14/2014,14,11,2014,2215000
11/15/2014,15,11,2014,2215000
11/16/2014,16,11,2014,2213000
11/17/2014,17,11,2014,2212000
11/18/2014,18,11,2014,2211000
11/19/2014,19,11,2014,2210000
11/20/2014,20,11,2014,2210000
11/21/2014,21,11,2014,2210000
11/22/2014,22,11,2014,2212000
11/23/2014,23,11,2014,2213000
11/24/2014,24,11,2014,2214000
11/25/2014,25,11,2014,2218000
11/26/2014,26,11,2014,2226000
11/27/2014,27,11,2014,2232000
11/28/2014,28,11,2014,2242000
11/29/2014,29,11,2014,2262000
11/30/2014,30,11,2014,2272000
12/1/2014,1,12,2014,2277000
12/2/2014,2,12,2014,2282000
12/3/2014,3,12,2014,2286000
12/4/2014,4,12,2014,2290000
12/5/2014,5,12,2014,2295000
12/6/2014,6,12,2014,2300000
12/7/2014,7,12,2014,2307000
12/8/2014,8,12,2014,2312000
12/9/2014,9,12,2014,2317000
12/10/2014,10,12,2014,2322000
12/11/2014,11,12,2014,2326000
12/12/2014,12,12,2014,2332000
12/13/2014,13,12,2014,2338000
12/14/2014,14,12,2014,2344000
12/15/2014,15,12,2014,2348000
12/16/2014,16,12,2014,2352000
12/17/2014,17,12,2014,2356000
12/18/2014,18,12,2014,2359000
12/19/2014,19,12,2014,2363000
12/20/2014,20,12,2014,2368000
12/21/2014,21,12,2014,2379000
12/22/2014,22,12,2014,2390000
12/23/2014,23,12,2014,2398000
12/24/2014,24,12,2014,2404000
12/25/2014,25,12,2014,2410000
12/26/2014,26,12,2014,2416000
12/27/2014,27,12,2014,2420000
12/28/2014,28,12,2014,2425000
12/29/2014,29,12,2014,2429000
12/30/2014,30,12,2014,2429000
12/31/2014,31,12,2014,2430000
1/1/2015,1,1,2015,2431000
1/2/2015,2,1,2015,2432000
1/3/2015,3,1,2015,2434000
1/4/2015,4,1,2015,2438000
1/5/2015,5,1,2015,2443000
1/6/2015,6,1,2015,2451000
1/7/2015,7,1,2015,2458000
1/8/2015,8,1,2015,2463000
1/9/2015,9,1,2015,2468000
1/10/2015,10,1,2015,2471000
1/11/2015,11,1,2015,2475000
1/12/2015,12,1,2015,2478000
1/13/2015,13,1,2015,2481000
1/14/2015,14,1,2015,2484000
1/15/2015,15,1,2015,2487000
1/16/2015,16,1,2015,2489000
1/17/2015,17,1,2015,2493000
1/18/2015,18,1,2015,2502000
1/19/2015,19,1,2015,2510000
1/20/2015,20,1,2015,
1/21/2015,21,1,2015,
1/22/2015,22,1,2015,
1/23/2015,23,1,2015,
1/24/2015,24,1,2015,
1/25/2015,25,1,2015,
1/26/2015,26,1,2015,
1/27/2015,27,1,2015,
1/28/2015,28,1,2015,
1/29/2015,29,1,2015,
1/30/2015,30,1,2015,
1/31/2015,31,1,2015,
2/1/2015,1,2,2015,
2/2/2015,2,2,2015,
2/3/2015,3,2,2015,
2/4/2015,4,2,2015,
2/5/2015,5,2,2015,
2/6/2015,6,2,2015,
2/7/2015,7,2,2015,
2/8/2015,8,2,2015,
2/9/2015,9,2,2015,
2/10/2015,10,2,2015,
2/11/2015,11,2,2015,
2/12/2015,12,2,2015,
2/13/2015,13,2,2015,
2/14/2015,14,2,2015,
2/15/2015,15,2,2015,
2/16/2015,16,2,2015,
2/17/2015,17,2,2015,
2/18/2015,18,2,2015,
2/19/2015,19,2,2015,
2/20/2015,20,2,2015,
2/21/2015,21,2,2015,
2/22/2015,22,2,2015,
2/23/2015,23,2,2015,
2/24/2015,24,2,2015,
2/25/2015,25,2,2015,
2/26/2015,26,2,2015,
2/27/2015,27,2,2015,
2/28/2015,28,2,2015,
3/1/2015,1,3,2015,
3/2/2015,2,3,2015,
3/3/2015,3,3,2015,
3/4/2015,4,3,2015,
3/5/2015,5,3,2015,
3/6/2015,6,3,2015,
3/7/2015,7,3,2015,
3/8/2015,8,3,2015,
3/9/2015,9,3,2015,
3/10/2015,10,3,2015,
3/11/2015,11,3,2015,
3/12/2015,12,3,2015,
3/13/2015,13,3,2015,
3/14/2015,14,3,2015,
3/15/2015,15,3,2015,
3/16/2015,16,3,2015,
3/17/2015,17,3,2015,
3/18/2015,18,3,2015,
3/19/2015,19,3,2015,
3/20/2015,20,3,2015,
3/21/2015,21,3,2015,
3/22/2015,22,3,2015,
3/23/2015,23,3,2015,
3/24/2015,24,3,2015,
3/25/2015,25,3,2015,
3/26/2015,26,3,2015,
3/27/2015,27,3,2015,
3/28/2015,28,3,2015,
3/29/2015,29,3,2015,
